Orthogroup	Duplications (all)	Duplications (50% support)
OG0001177	5	5
OG0001178	5	4
OG0001179	5	5
OG0001180	2	2
OG0001181	4	4
OG0001182	4	4
OG0001183	2	2
OG0001184	3	3
OG0001185	3	3
OG0001186	3	3
OG0001187	2	2
OG0001188	2	2
OG0001189	2	2
OG0001190	3	3
OG0001191	3	3
OG0001192	2	2
OG0001193	5	5
OG0001194	3	3
OG0001195	5	5
OG0001196	5	5
OG0001197	3	3
OG0001198	3	2
OG0001199	2	2
OG0001200	5	4
OG0001201	3	3
OG0001202	3	3
OG0001203	3	3
OG0001204	3	2
OG0001205	4	4
OG0001206	2	2
OG0001207	4	4
OG0001208	5	5
OG0001209	4	4
OG0001210	5	5
OG0001211	8	8
OG0001212	4	4
OG0001213	5	5
OG0001214	6	6
OG0001215	1	1
OG0001216	4	4
OG0001217	6	6
OG0001218	6	6
OG0001219	9	9
OG0001220	6	6
OG0001221	4	4
OG0001222	3	3
OG0001223	3	3
OG0001224	3	2
OG0001225	2	1
OG0001226	3	3
OG0001227	3	3
OG0001228	3	3
OG0001229	4	4
OG0001230	4	4
OG0001231	5	5
OG0001232	4	4
OG0001233	3	3
OG0001234	4	3
OG0001235	6	6
OG0001236	4	4
OG0001237	7	6
OG0001238	3	3
OG0001239	5	4
OG0001240	2	2
OG0001241	9	6
OG0001242	4	3
OG0001243	4	4
OG0001244	5	3
OG0001245	3	3
OG0001246	5	4
OG0001247	5	5
OG0001248	4	3
OG0001249	4	4
OG0001250	3	3
OG0001251	4	4
OG0001252	3	3
OG0001253	5	5
OG0001254	4	4
OG0001255	4	4
OG0001256	8	8
OG0001257	4	4
OG0001258	6	6
OG0001259	2	2
OG0001260	7	7
OG0001261	7	6
OG0001262	6	6
OG0001263	3	3
OG0001264	4	4
OG0001265	6	6
OG0001266	6	6
OG0001267	10	10
OG0001268	4	3
OG0001269	10	10
OG0001270	4	4
OG0001271	2	2
OG0001272	2	2
OG0001273	4	4
OG0001274	4	4
OG0001275	3	3
OG0001276	1	1
OG0001277	4	4
OG0001278	11	11
OG0001279	11	11
OG0001280	4	4
OG0001281	1	1
OG0001282	11	11
OG0001283	4	4
OG0001284	4	4
OG0001285	4	4
OG0001286	2	2
OG0001287	1	1
OG0001288	4	4
OG0001289	2	2
OG0001290	3	3
OG0001291	1	1
OG0001292	2	2
OG0001293	1	1
OG0001294	3	3
OG0001295	11	11
OG0001296	2	1
OG0001297	2	2
OG0001298	2	2
OG0001299	2	2
OG0001300	4	4
OG0001301	3	2
OG0001302	4	4
OG0001303	3	3
OG0001304	2	2
